OS01W :     Name
ZD134 :     Equity Econ Sector Real Estate % (Long)
ZD135 :     Equity Econ Sector Technology % (Long)
ZD136 :     Equity Econ Sector Energy % (Long)
ZD137 :     Equity Econ Sector Financial Services % (Long)
ZD138 :     Equity Econ Sector Utilities % (Long)
XD140 :     Equity Econ Super Sector Cyclical % (Short)
XD141 :     Equity Econ Super Sector Defensive % (Short)
XD142 :     Equity Econ Super Sector Sensitive % (Short)
XD128 :     Equity Econ Sector Basic Materials % (Short)
XD129 :     Equity Econ Sector Communication Services % (Short)
XD130 :     Equity Econ Sector Consumer Cyclical % (Short)
XD131 :     Equity Econ Sector Consumer Defensive % (Short)
XD132 :     Equity Econ Sector Healthcare % (Short)
XD133 :     Equity Econ Sector Industrials % (Short)
XD134 :     Equity Econ Sector Real Estate % (Short)
XD135 :     Equity Econ Sector Technology % (Short)
XD136 :     Equity Econ Sector Energy % (Short)
XD137 :     Equity Econ Sector Financial Services % (Short)
XD138 :     Equity Econ Sector Utilities % (Short)
AA03W :     Equity Econ Super Sector Cyclical % (Long Rescaled)
AA06P :     Equity Econ Super Sector Defensive % (Long Rescaled)
AA06Q :     Equity Econ Super Sector Sensitive % (Long Rescaled)
AA03K :     Equity Econ Sector Basic Materials % (Long Rescaled)
AA03L :     Equity Econ Sector Communication Services % (Long Rescaled)
AA03M :     Equity Econ Sector Consumer Cyclical % (Long Rescaled)
AA03N :     Equity Econ Sector Consumer Defensive % (Long Rescaled)
AA03O :     Equity Econ Sector Healthcare % (Long Rescaled)
AA03P :     Equity Econ Sector Industrials % (Long Rescaled)
AA03Q :     Equity Econ Sector Real Estate % (Long Rescaled)
AA03R :     Equity Econ Sector Technology % (Long Rescaled)
AA03S :     Equity Econ Sector Energy % (Long Rescaled)
AA03T :     Equity Econ Sector Financial Services % (Long Rescaled)
AA03U :     Equity Econ Sector Utilities % (Long Rescaled)
AA03V :     Equity Econ Sector Rescaling Factor (Long)
TDA00 :     Equity Industry Advertising Agencies % (Net)
TD417 :     Equity Industry Aerospace & Defense % (Net)
TD418 :     Equity Industry Agricultural Inputs % (Net)
TDA01 :     Equity Industry Airlines % (Net)
TD420 :     Equity Industry Airports & Air Services % (Net)
TD421 :     Equity Industry Aluminum % (Net)
TD422 :     Equity Industry Apparel Manufacturing % (Net)
TD423 :     Equity Industry Apparel Retail % (Net)
TD424 :     Equity Industry Asset Management % (Net)
TD425 :     Equity Industry Auto & Truck Dealerships % (Net)
TD426 :     Equity Industry Auto Manufacturers % (Net)
TD427 :     Equity Industry Auto Parts % (Net)
TD428 :     Equity Industry Banks - Diversified % (Net)
TDA02 :     Equity Industry Banks - Regional % (Net)
TD436 :     Equity Industry Beverages - Brewers % (Net)
TD437 :     Equity Industry Beverages - Non-Alcoholic % (Net)
TD438 :     Equity Industry Beverages - Wineries & Distilleries % (Net)
TD439 :     Equity Industry Biotechnology % (Net)
TDA03 :     Equity Industry Broadcasting % (Net)
TD442 :     Equity Industry Building Materials % (Net)
TDA04 :     Equity Industry Building Products & Equipment % (Net)
TD443 :     Equity Industry Business Equipment & Supplies % (Net)
TD444 :     Equity Industry Specialty Business Services % (Net)
TD445 :     Equity Industry Capital Markets % (Net)
TD446 :     Equity Industry Chemicals % (Net)
TDA05 :     Equity Industry Coking Coal % (Net)
TD448 :     Equity Industry Communication Equipment % (Net)
TD450 :     Equity Industry Computer Hardware % (Net)
TD451 :     Equity Industry Confectioners % (Net)
TD452 :     Equity Industry Conglomerates % (Net)
TDA06 :     Equity Industry Consulting Services % (Net)
TD453 :     Equity Industry Consumer Electronics % (Net)
TD455 :     Equity Industry Copper % (Net)
TD456 :     Equity Industry Credit Services % (Net)
TD458 :     Equity Industry Department Stores % (Net)
TD459 :     Equity Industry Diagnostics & Research % (Net)
TD460 :     Equity Industry Discount Stores % (Net)
TD461 :     Equity Industry Specialty Industrial Machinery % (Net)
TD462 :     Equity Industry Drug Manufacturers - General % (Net)
TD463 :     Equity Industry Drug Manufacturers - Specialty & Generic % (Net)
TD465 :     Equity Industry Education & Training Services % (Net)
TDA07 :     Equity Industry Electrical Equipment & Parts % (Net)
TD466 :     Equity Industry Electronic Components % (Net)
TDA08 :     Equity Industry Electronic Gaming & Multimedia % (Net)
TD468 :     Equity Industry Electronics & Computer Distribution % (Net)
TD469 :     Equity Industry Engineering & Construction % (Net)
TDA09 :     Equity Industry Entertainment % (Net)
TD470 :     Equity Industry Farm & Heavy Construction Machinery % (Net)
TD471 :     Equity Industry Farm Products % (Net)
TDA10 :     Equity Industry Financial Conglomerates % (Net)
TD472 :     Equity Industry Financial Data & Stock Exchanges % (Net)
TD473 :     Equity Industry Food Distribution % (Net)
TD474 :     Equity Industry Footwear & Accessories % (Net)
TD475 :     Equity Industry Gambling % (Net)
TD476 :     Equity Industry Gold % (Net)
TD477 :     Equity Industry Grocery Stores % (Net)
TD478 :     Equity Industry Health Care Plans % (Net)
TDA11 :     Equity Industry Health Information Services % (Net)
TD480 :     Equity Industry Furnishings, Fixtures & Appliances % (Net)
TD481 :     Equity Industry Home Improvement Retail % (Net)
TD482 :     Equity Industry Household & Personal Products % (Net)
TD483 :     Equity Industry Industrial Distribution % (Net)
TD484 :     Equity Industry Other Industrial Metals & Mining % (Net)
TD485 :     Equity Industry Information Technology Services % (Net)
TD486 :     Equity Industry Infrastructure Operations % (Net)
TD487 :     Equity Industry Insurance - Diversified % (Net)
TD488 :     Equity Industry Insurance - Life % (Net)
TD489 :     Equity Industry Insurance - Property & Casualty % (Net)
TD490 :     Equity Industry Insurance - Reinsurance % (Net)
TD491 :     Equity Industry Insurance - Specialty % (Net)
TDA12 :     Equity Industry Insurance Brokers % (Net)
TD493 :     Equity Industry Integrated Freight & Logistics % (Net)
TDA13 :     Equity Industry Internet Content & Information % (Net)
TDA14 :     Equity Industry Internet Retail % (Net)
TD495 :     Equity Industry Leisure % (Net)
TD496 :     Equity Industry Lodging % (Net)
TD498 :     Equity Industry Lumber & Wood Production % (Net)
TD499 :     Equity Industry Luxury Goods % (Net)
TD502 :     Equity Industry Medical Care % (Net)
TD503 :     Equity Industry Medical Devices % (Net)
TD504 :     Equity Industry Medical Distribution % (Net)
TD505 :     Equity Industry Medical Instruments & Supplies % (Net)
TD506 :     Equity Industry Metal Fabrication % (Net)
TD507 :     Equity Industry Oil & Gas Drilling % (Net)
TD508 :     Equity Industry Oil & Gas E& P % (Net)
TD509 :     Equity Industry Oil & Gas Equipment & Services % (Net)
TD510 :     Equity Industry Oil & Gas Integrated % (Net)
TD511 :     Equity Industry Oil & Gas Midstream % (Net)
TD512 :     Equity Industry Oil & Gas Refining & Marketing % (Net)
TDA15 :     Equity Industry Other Precious Metals & Mining % (Net)
TD513 :     Equity Industry Packaged Foods % (Net)
TD514 :     Equity Industry Packaging & Containers % (Net)
TD515 :     Equity Industry Paper & Paper Products % (Net)
TD517 :     Equity Industry Personal Services % (Net)
TDA16 :     Equity Industry Pharmaceutical Retailers % (Net)
TD518 :     Equity Industry Pollution & Treatment Controls % (Net)
TDA17 :     Equity Industry Publishing % (Net)
TD520 :     Equity Industry Railroads % (Net)
TDA18 :     Equity Industry Real Estate - Diversified % (Net)
TD521 :     Equity Industry Real Estate - Development % (Net)
TD522 :     Equity Industry Real Estate Services % (Net)
TD523 :     Equity Industry Recreational Vehicles % (Net)
TD524 :     Equity Industry REIT - Diversified % (Net)
TD525 :     Equity Industry REIT - Healthcare Facilities % (Net)
TD526 :     Equity Industry REIT - Hotel & Motel % (Net)
TD527 :     Equity Industry REIT - Industrial % (Net)
TDA19 :     Equity Industry REIT - Mortgage % (Net)
TD528 :     Equity Industry REIT - Office % (Net)
TD529 :     Equity Industry REIT - Residential % (Net)
TD530 :     Equity Industry REIT - Retail % (Net)
TDA20 :     Equity Industry REIT - Specialty % (Net)
TD531 :     Equity Industry Rental & Leasing Services % (Net)
TD532 :     Equity Industry Residential Construction % (Net)
TD533 :     Equity Industry Resorts & Casinos % (Net)
TD534 :     Equity Industry Restaurants % (Net)
TD537 :     Equity Industry Scientific & Technical Instruments % (Net)
TD538 :     Equity Industry Security & Protection Services % (Net)
TD539 :     Equity Industry Semiconductor Equipment & Materials % (Net)
TD541 :     Equity Industry Semiconductors % (Net)
TDA21 :     Equity Industry Shell Companies % (Net)
TD542 :     Equity Industry Marine Shipping % (Net)
TD543 :     Equity Industry Silver % (Net)
TD544 :     Equity Industry Software - Application % (Net)
TD545 :     Equity Industry Software - Infrastructure % (Net)
TD546 :     Equity Industry Solar % (Net)
TD547 :     Equity Industry Specialty Chemicals % (Net)
TD548 :     Equity Industry Mortgage Finance % (Net)
TD549 :     Equity Industry Specialty Retail % (Net)
TD550 :     Equity Industry Staffing & Employment Services % (Net)
TD551 :     Equity Industry Steel % (Net)
TD552 :     Equity Industry Telecom Services % (Net)
TD553 :     Equity Industry Textile Manufacturing % (Net)
TDA22 :     Equity Industry Thermal Coal % (Net)
TD554 :     Equity Industry Tobacco % (Net)
TD555 :     Equity Industry Tools & Accessories % (Net)
TDA23 :     Equity Industry Travel Services % (Net)
TD557 :     Equity Industry Trucking % (Net)
TDA24 :     Equity Industry Uranium % (Net)
TD558 :     Equity Industry Utilities - Diversified % (Net)
TD559 :     Equity Industry Utilities - Independent Power Producers % (Net)
TD560 :     Equity Industry Utilities - Regulated Electric % (Net)
TD561 :     Equity Industry Utilities - Regulated Gas % (Net)
TD562 :     Equity Industry Utilities - Regulated Water % (Net)
TDA25 :     Equity Industry Utilities - Renewable % (Net)
TD563 :     Equity Industry Waste Management % (Net)
ZDA00 :     Equity Industry Advertising Agencies % (Long)
ZD417 :     Equity Industry Aerospace & Defense % (Long)
ZD418 :     Equity Industry Agricultural Inputs % (Long)
ZDA01 :     Equity Industry Airlines % (Long)
ZD420 :     Equity Industry Airports & Air Services % (Long)
ZD421 :     Equity Industry Aluminum % (Long)
ZD422 :     Equity Industry Apparel Manufacturing % (Long)
ZD423 :     Equity Industry Apparel Retail % (Long)
ZD424 :     Equity Industry Asset Management % (Long)
ZD425 :     Equity Industry Auto & Truck Dealerships % (Long)
ZD426 :     Equity Industry Auto Manufacturers % (Long)
ZD427 :     Equity Industry Auto Parts % (Long)
ZD428 :     Equity Industry Banks - Diversified % (Long)
ZDA02 :     Equity Industry Banks - Regional % (Long)
ZD436 :     Equity Industry Beverages - Brewers % (Long)
ZD437 :     Equity Industry Beverages - Non-Alcoholic % (Long)
ZD438 :     Equity Industry Beverages - Wineries & Distilleries % (Long)
ZD439 :     Equity Industry Biotechnology % (Long)
ZDA03 :     Equity Industry Broadcasting % (Long)
ZD442 :     Equity Industry Building Materials % (Long)
ZDA04 :     Equity Industry Building Products & Equipment % (Long)
ZD443 :     Equity Industry Business Equipment & Supplies % (Long)
ZD444 :     Equity Industry Specialty Business Services % (Long)
ZD445 :     Equity Industry Capital Markets % (Long)
ZD446 :     Equity Industry Chemicals % (Long)
ZDA05 :     Equity Industry Coking Coal % (Long)
ZD448 :     Equity Industry Communication Equipment % (Long)
ZD450 :     Equity Industry Computer Hardware % (Long)
ZD451 :     Equity Industry Confectioners % (Long)
ZD452 :     Equity Industry Conglomerates % (Long)
ZDA06 :     Equity Industry Consulting Services % (Long)
ZD453 :     Equity Industry Consumer Electronics % (Long)
ZD455 :     Equity Industry Copper % (Long)
ZD456 :     Equity Industry Credit Services % (Long)
ZD458 :     Equity Industry Department Stores % (Long)
ZD459 :     Equity Industry Diagnostics & Research % (Long)
ZD460 :     Equity Industry Discount Stores % (Long)
ZD461 :     Equity Industry Specialty Industrial Machinery % (Long)
ZD462 :     Equity Industry Drug Manufacturers - General % (Long)
ZD463 :     Equity Industry Drug Manufacturers - Specialty & Generic % (Long)
ZD465 :     Equity Industry Education & Training Services % (Long)
ZDA07 :     Equity Industry Electrical Equipment & Parts % (Long)
ZD466 :     Equity Industry Electronic Components % (Long)
ZDA08 :     Equity Industry Electronic Gaming & Multimedia % (Long)
ZD468 :     Equity Industry Electronics & Computer Distribution % (Long)
ZD469 :     Equity Industry Engineering & Construction % (Long)
ZDA09 :     Equity Industry Entertainment % (Long)
ZD470 :     Equity Industry Farm & Heavy Construction Machinery % (Long)
ZD471 :     Equity Industry Farm Products % (Long)
ZDA10 :     Equity Industry Financial Conglomerates % (Long)
ZD472 :     Equity Industry Financial Data & Stock Exchanges % (Long)
ZD473 :     Equity Industry Food Distribution % (Long)
ZD474 :     Equity Industry Footwear & Accessories % (Long)
ZD475 :     Equity Industry Gambling % (Long)
ZD476 :     Equity Industry Gold % (Long)
ZD477 :     Equity Industry Grocery Stores % (Long)
ZD478 :     Equity Industry Health Care Plans % (Long)
ZDA11 :     Equity Industry Health Information Services % (Long)
ZD480 :     Equity Industry Furnishings, Fixtures & Appliances % (Long)
ZD481 :     Equity Industry Home Improvement Retail % (Long)
ZD482 :     Equity Industry Household & Personal Products % (Long)
ZD483 :     Equity Industry Industrial Distribution % (Long)
ZD484 :     Equity Industry Other Industrial Metals & Mining % (Long)
ZD485 :     Equity Industry Information Technology Services % (Long)
ZD486 :     Equity Industry Infrastructure Operations % (Long)
ZD487 :     Equity Industry Insurance - Diversified % (Long)
ZD488 :     Equity Industry Insurance - Life % (Long)
ZD489 :     Equity Industry Insurance - Property & Casualty % (Long)
ZD490 :     Equity Industry Insurance - Reinsurance % (Long)
ZD491 :     Equity Industry Insurance - Specialty % (Long)
ZDA12 :     Equity Industry Insurance Brokers % (Long)
ZD493 :     Equity Industry Integrated Freight & Logistics % (Long)
ZDA13 :     Equity Industry Internet Content & Information % (Long)
ZDA14 :     Equity Industry Internet Retail % (Long)
ZD495 :     Equity Industry Leisure % (Long)
ZD496 :     Equity Industry Lodging % (Long)
ZD498 :     Equity Industry Lumber & Wood Production % (Long)
ZD499 :     Equity Industry Luxury Goods % (Long)
ZD502 :     Equity Industry Medical Care % (Long)
ZD503 :     Equity Industry Medical Devices % (Long)
ZD504 :     Equity Industry Medical Distribution % (Long)
ZD505 :     Equity Industry Medical Instruments & Supplies % (Long)
ZD506 :     Equity Industry Metal Fabrication % (Long)
ZD507 :     Equity Industry Oil & Gas Drilling % (Long)
ZD508 :     Equity Industry Oil & Gas E& P % (Long)
ZD509 :     Equity Industry Oil & Gas Equipment & Services % (Long)
ZD510 :     Equity Industry Oil & Gas Integrated % (Long)
ZD511 :     Equity Industry Oil & Gas Midstream % (Long)
ZD512 :     Equity Industry Oil & Gas Refining & Marketing % (Long)
ZDA15 :     Equity Industry Other Precious Metals & Mining % (Long)
ZD513 :     Equity Industry Packaged Foods % (Long)
ZD514 :     Equity Industry Packaging & Containers % (Long)
ZD515 :     Equity Industry Paper & Paper Products % (Long)
ZD517 :     Equity Industry Personal Services % (Long)
ZDA16 :     Equity Industry Pharmaceutical Retailers % (Long)
ZD518 :     Equity Industry Pollution & Treatment Controls % (Long)
ZDA17 :     Equity Industry Publishing % (Long)
ZD520 :     Equity Industry Railroads % (Long)
ZDA18 :     Equity Industry Real Estate - Diversified % (Long)
ZD521 :     Equity Industry Real Estate - Development % (Long)
ZD522 :     Equity Industry Real Estate Services % (Long)
ZD523 :     Equity Industry Recreational Vehicles % (Long)
ZD524 :     Equity Industry REIT - Diversified % (Long)
ZD525 :     Equity Industry REIT - Healthcare Facilities % (Long)
ZD526 :     Equity Industry REIT - Hotel & Motel % (Long)
ZD527 :     Equity Industry REIT - Industrial % (Long)
ZDA19 :     Equity Industry REIT - Mortgage % (Long)
ZD528 :     Equity Industry REIT - Office % (Long)
ZD529 :     Equity Industry REIT - Residential % (Long)
ZD530 :     Equity Industry REIT - Retail % (Long)
ZDA20 :     Equity Industry REIT - Specialty % (Long)
ZD531 :     Equity Industry Rental & Leasing Services % (Long)
ZD532 :     Equity Industry Residential Construction % (Long)
ZD533 :     Equity Industry Resorts & Casinos % (Long)
ZD534 :     Equity Industry Restaurants % (Long)
ZD537 :     Equity Industry Scientific & Technical Instruments % (Long)
ZD538 :     Equity Industry Security & Protection Services % (Long)
ZD539 :     Equity Industry Semiconductor Equipment & Materials % (Long)
ZD541 :     Equity Industry Semiconductors % (Long)
ZDA21 :     Equity Industry Shell Companies % (Long)
ZD542 :     Equity Industry Marine Shipping % (Long)
ZD543 :     Equity Industry Silver % (Long)
ZD544 :     Equity Industry Software - Application % (Long)
ZD545 :     Equity Industry Software - Infrastructure % (Long)
ZD546 :     Equity Industry Solar % (Long)
ZD547 :     Equity Industry Specialty Chemicals % (Long)
ZD548 :     Equity Industry Mortgage Finance % (Long)
ZD549 :     Equity Industry Specialty Retail % (Long)
ZD550 :     Equity Industry Staffing & Employment Services % (Long)
ZD551 :     Equity Industry Steel % (Long)
ZD552 :     Equity Industry Telecom Services % (Long)
ZD553 :     Equity Industry Textile Manufacturing % (Long)
ZDA22 :     Equity Industry Thermal Coal % (Long)
ZD554 :     Equity Industry Tobacco % (Long)
ZD555 :     Equity Industry Tools & Accessories % (Long)
ZDA23 :     Equity Industry Travel Services % (Long)
ZD557 :     Equity Industry Trucking % (Long)
ZDA24 :     Equity Industry Uranium % (Long)
ZD558 :     Equity Industry Utilities - Diversified % (Long)
ZD559 :     Equity Industry Utilities - Independent Power Producers % (Long)
ZD560 :     Equity Industry Utilities - Regulated Electric % (Long)
ZD561 :     Equity Industry Utilities - Regulated Gas % (Long)
ZD562 :     Equity Industry Utilities - Regulated Water % (Long)
ZDA25 :     Equity Industry Utilities - Renewable % (Long)
ZD563 :     Equity Industry Waste Management % (Long)
XDA00 :     Equity Industry Advertising Agencies % (Short)
XD417 :     Equity Industry Aerospace & Defense % (Short)
XD418 :     Equity Industry Agricultural Inputs % (Short)
XD420 :     Equity Industry Airports & Air Services % (Short)
XDA01 :     Equity Industry Airlines % (Short)
XD421 :     Equity Industry Aluminum % (Short)
XD422 :     Equity Industry Apparel Manufacturing % (Short)
XD423 :     Equity Industry Apparel Retail % (Short)
XD424 :     Equity Industry Asset Management % (Short)
XD425 :     Equity Industry Auto & Truck Dealerships % (Short)
XD426 :     Equity Industry Auto Manufacturers % (Short)
XD427 :     Equity Industry Auto Parts % (Short)
XD428 :     Equity Industry Banks - Diversified % (Short)
XDA02 :     Equity Industry Banks - Regional % (Short)
XD436 :     Equity Industry Beverages - Brewers % (Short)
XD437 :     Equity Industry Beverages - Non-Alcoholic % (Short)
XD438 :     Equity Industry Beverages - Wineries & Distilleries % (Short)
XD439 :     Equity Industry Biotechnology % (Short)
XDA03 :     Equity Industry Broadcasting % (Short)
XD442 :     Equity Industry Building Materials % (Short)
XDA04 :     Equity Industry Building Products & Equipment % (Short)
XD443 :     Equity Industry Business Equipment & Supplies % (Short)
XD444 :     Equity Industry Specialty Business Services % (Short)
XD445 :     Equity Industry Capital Markets % (Short)
XD446 :     Equity Industry Chemicals % (Short)
XDA05 :     Equity Industry Coking Coal % (Short)
XD448 :     Equity Industry Communication Equipment % (Short)
XD450 :     Equity Industry Computer Hardware % (Short)
XD451 :     Equity Industry Confectioners % (Short)
XD452 :     Equity Industry Conglomerates % (Short)
XDA06 :     Equity Industry Consulting Services % (Short)
XD453 :     Equity Industry Consumer Electronics % (Short)
XD455 :     Equity Industry Copper % (Short)
XD456 :     Equity Industry Credit Services % (Short)
XD458 :     Equity Industry Department Stores % (Short)
XD459 :     Equity Industry Diagnostics & Research % (Short)
XD460 :     Equity Industry Discount Stores % (Short)
XD461 :     Equity Industry Specialty Industrial Machinery % (Short)
XD462 :     Equity Industry Drug Manufacturers - General % (Short)
XD463 :     Equity Industry Drug Manufacturers - Specialty & Generic % (Short)
XD465 :     Equity Industry Education & Training Services % (Short)
XDA07 :     Equity Industry Electrical Equipment & Parts % (Short)
XD466 :     Equity Industry Electronic Components % (Short)
XDA08 :     Equity Industry Electronic Gaming & Multimedia % (Short)
XD468 :     Equity Industry Electronics & Computer Distribution % (Short)
XD469 :     Equity Industry Engineering & Construction % (Short)
XDA09 :     Equity Industry Entertainment % (Short)
XD470 :     Equity Industry Farm & Heavy Construction Machinery % (Short)
XD471 :     Equity Industry Farm Products % (Short)
XDA10 :     Equity Industry Financial Conglomerates % (Short)
XD472 :     Equity Industry Financial Data & Stock Exchanges % (Short)
XD473 :     Equity Industry Food Distribution % (Short)
XD474 :     Equity Industry Footwear & Accessories % (Short)
XD475 :     Equity Industry Gambling % (Short)
XD476 :     Equity Industry Gold % (Short)
XD477 :     Equity Industry Grocery Stores % (Short)
XD478 :     Equity Industry Health Care Plans % (Short)
XDA11 :     Equity Industry Health Information Services % (Short)
XD480 :     Equity Industry Furnishings, Fixtures & Appliances % (Short)
XD481 :     Equity Industry Home Improvement Retail % (Short)
XD482 :     Equity Industry Household & Personal Products % (Short)
XD483 :     Equity Industry Industrial Distribution % (Short)
XD484 :     Equity Industry Other Industrial Metals & Mining % (Short)
XD485 :     Equity Industry Information Technology Services % (Short)
XD486 :     Equity Industry Infrastructure Operations % (Short)
XD487 :     Equity Industry Insurance - Diversified % (Short)
XD488 :     Equity Industry Insurance - Life % (Short)
XD489 :     Equity Industry Insurance - Property & Casualty % (Short)
XD490 :     Equity Industry Insurance - Reinsurance % (Short)
XD491 :     Equity Industry Insurance - Specialty % (Short)
XDA12 :     Equity Industry Insurance Brokers % (Short)
XD493 :     Equity Industry Integrated Freight & Logistics % (Short)
XDA13 :     Equity Industry Internet Content & Information % (Short)
XDA14 :     Equity Industry Internet Retail % (Short)
XD495 :     Equity Industry Leisure % (Short)
XD496 :     Equity Industry Lodging % (Short)
XD498 :     Equity Industry Lumber & Wood Production % (Short)
XD499 :     Equity Industry Luxury Goods % (Short)
XD502 :     Equity Industry Medical Care % (Short)
XD503 :     Equity Industry Medical Devices % (Short)
XD504 :     Equity Industry Medical Distribution % (Short)
XD505 :     Equity Industry Medical Instruments & Supplies % (Short)
XD506 :     Equity Industry Metal Fabrication % (Short)
XD507 :     Equity Industry Oil & Gas Drilling % (Short)
XD508 :     Equity Industry Oil & Gas E& P % (Short)
XD509 :     Equity Industry Oil & Gas Equipment & Services % (Short)
XD510 :     Equity Industry Oil & Gas Integrated % (Short)
XD511 :     Equity Industry Oil & Gas Midstream % (Short)
XD512 :     Equity Industry Oil & Gas Refining & Marketing % (Short)
XDA15 :     Equity Industry Other Precious Metals & Mining % (Short)
XD513 :     Equity Industry Packaged Foods % (Short)
XD514 :     Equity Industry Packaging & Containers % (Short)
XD515 :     Equity Industry Paper & Paper Products % (Short)
XD517 :     Equity Industry Personal Services % (Short)
XDA16 :     Equity Industry Pharmaceutical Retailers % (Short)
XD518 :     Equity Industry Pollution & Treatment Controls % (Short)
XDA17 :     Equity Industry Publishing % (Short)
XD520 :     Equity Industry Railroads % (Short)
XDA18 :     Equity Industry Real Estate - Diversified % (Short)
XD521 :     Equity Industry Real Estate - Development % (Short)
XD522 :     Equity Industry Real Estate Services % (Short)
XD523 :     Equity Industry Recreational Vehicles % (Short)
XD524 :     Equity Industry REIT - Diversified % (Short)
XD525 :     Equity Industry REIT - Healthcare Facilities % (Short)
XD526 :     Equity Industry REIT - Hotel & Motel % (Short)
XD527 :     Equity Industry REIT - Industrial % (Short)
XDA19 :     Equity Industry REIT - Mortgage % (Short)
XD528 :     Equity Industry REIT - Office % (Short)
XD529 :     Equity Industry REIT - Residential % (Short)
XD530 :     Equity Industry REIT - Retail % (Short)
XDA20 :     Equity Industry REIT - Specialty % (Short)
XD531 :     Equity Industry Rental & Leasing Services % (Short)
XD532 :     Equity Industry Residential Construction % (Short)
XD533 :     Equity Industry Resorts & Casinos % (Short)
XD534 :     Equity Industry Restaurants % (Short)
XD537 :     Equity Industry Scientific & Technical Instruments % (Short)
XD538 :     Equity Industry Security & Protection Services % (Short)
XD539 :     Equity Industry Semiconductor Equipment & Materials % (Short)
XD541 :     Equity Industry Semiconductors % (Short)
XDA21 :     Equity Industry Shell Companies % (Short)
XD542 :     Equity Industry Marine Shipping % (Short)
XD543 :     Equity Industry Silver % (Short)
XD544 :     Equity Industry Software - Application % (Short)
XD545 :     Equity Industry Software - Infrastructure % (Short)
XD546 :     Equity Industry Solar % (Short)
XD547 :     Equity Industry Specialty Chemicals % (Short)
XD548 :     Equity Industry Mortgage Finance % (Short)
XD549 :     Equity Industry Specialty Retail % (Short)
XD550 :     Equity Industry Staffing & Employment Services % (Short)
XD551 :     Equity Industry Steel % (Short)
XD552 :     Equity Industry Telecom Services % (Short)
XD553 :     Equity Industry Textile Manufacturing % (Short)
XDA22 :     Equity Industry Thermal Coal % (Short)
XD554 :     Equity Industry Tobacco % (Short)
XD555 :     Equity Industry Tools & Accessories % (Short)
XDA23 :     Equity Industry Travel Services % (Short)
XD557 :     Equity Industry Trucking % (Short)
XDA24 :     Equity Industry Uranium % (Short)
XD558 :     Equity Industry Utilities - Diversified % (Short)
XD559 :     Equity Industry Utilities - Independent Power Producers % (Short)
XD560 :     Equity Industry Utilities - Regulated Electric % (Short)
XD561 :     Equity Industry Utilities - Regulated Gas % (Short)
XD562 :     Equity Industry Utilities - Regulated Water % (Short)
XDA25 :     Equity Industry Utilities - Renewable % (Short)
XD563 :     Equity Industry Waste Management % (Short)
BBA00 :     Equity Industry Advertising Agencies % (Long Rescaled)
BB002 :     Equity Industry Aerospace & Defense % (Long Rescaled)
BB003 :     Equity Industry Agricultural Inputs % (Long Rescaled)
BBA01 :     Equity Industry Airlines % (Long Rescaled)
BB005 :     Equity Industry Airports & Air Services % (Long Rescaled)
BB006 :     Equity Industry Aluminum % (Long Rescaled)
BB007 :     Equity Industry Apparel Manufacturing % (Long Rescaled)
BB008 :     Equity Industry Apparel Retail % (Long Rescaled)
BB009 :     Equity Industry Asset Management % (Long Rescaled)
BB010 :     Equity Industry Auto & Truck Dealerships % (Long Rescaled)
BB011 :     Equity Industry Auto Manufacturers % (Long Rescaled)
BB012 :     Equity Industry Auto Parts % (Long Rescaled)
BB013 :     Equity Industry Banks - Diversified % (Long Rescaled)
BBA02 :     Equity Industry Banks - Regional % (Long Rescaled)
BB021 :     Equity Industry Beverages - Brewers % (Long Rescaled)
BB022 :     Equity Industry Beverages - Non-Alcoholic % (Long Rescaled)
BB023 :     Equity Industry Beverages - Wineries & Distilleries % (Long Rescaled)
BB024 :     Equity Industry Biotechnology % (Long Rescaled)
BBA03 :     Equity Industry Broadcasting % (Long Rescaled)
BB027 :     Equity Industry Building Materials % (Long Rescaled)
BBA04 :     Equity Industry Building Products & Equipment % (Long Rescaled)
BB028 :     Equity Industry Business Equipment & Supplies % (Long Rescaled)
BB029 :     Equity Industry Specialty Business Services % (Long Rescaled)
BB030 :     Equity Industry Capital Markets % (Long Rescaled)
BB031 :     Equity Industry Chemicals % (Long Rescaled)
BBA05 :     Equity Industry Coking Coal % (Long Rescaled)
BB033 :     Equity Industry Communication Equipment % (Long Rescaled)
BB035 :     Equity Industry Computer Hardware % (Long Rescaled)
BB036 :     Equity Industry Confectioners % (Long Rescaled)
BB037 :     Equity Industry Conglomerates % (Long Rescaled)
BBA06 :     Equity Industry Consulting Services % (Long Rescaled)
BB038 :     Equity Industry Consumer Electronics % (Long Rescaled)
BB040 :     Equity Industry Copper % (Long Rescaled)
BB041 :     Equity Industry Credit Services % (Long Rescaled)
BB043 :     Equity Industry Department Stores % (Long Rescaled)
BB044 :     Equity Industry Diagnostics & Research % (Long Rescaled)
BB045 :     Equity Industry Discount Stores % (Long Rescaled)
BB046 :     Equity Industry Specialty Industrial Machinery % (Long Rescaled)
BB047 :     Equity Industry Drug Manufacturers - General % (Long Rescaled)
BB048 :     Equity Industry Drug Manufacturers - Specialty & Generic % (Long Rescaled)
BB050 :     Equity Industry Education & Training Services % (Long Rescaled)
BBA07 :     Equity Industry Electrical Equipment & Parts % (Long Rescaled)
BB051 :     Equity Industry Electronic Components % (Long Rescaled)
BBA08 :     Equity Industry Electronic Gaming & Multimedia % (Long Rescaled)
